City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,padang,-0.9492,100.3543,30.03,58,89,1.79,I,1675829459
86,felipe carrillo puerto,19.5833,-88.05,22.3,90,2,1.94,M,1675829305
87,uglovskoye,51.3557,80.1942,-16.7,98,100,1.34,R,1675829459
88,hithadhoo,-0.6,73.0833,27.37,73,13,3.16,M,1675829460
89,lithakia,37.7167,20.8333,-3.35,59,99,2.81,G,1675829460
90,culaba,11.6578,124.5425,27.88,69,100,4.31,P,1675829461
91,arman,59.7,150.1667,-22.77,78,32,3.33,R,1675829461
92,ukiah,39.1502,-123.2078,9.8,84,0,0.0,U,1675829237
93,bambous virieux,-20.3428,57.7575,27.14,78,40,5.14,M,1675829463
94,hirara,24.8,125.2833,20.99,74,88,7.85,J,1675829464
95,port alfred,-33.5906,26.891,20.1,90,100,1.79,Z,1675829465
96,hobyo,5.3505,48.5268,25.41,67,95,6.75,S,1675829185
97,metro,-5.1131,105.3067,29.58,68,89,2.49,I,1675829170
98,kailua,21.4022,-157.7394,25.99,82,28,2.24,U,1675829209
99,port hardy,50.6996,-127.4199,4.1,93,75,2.57,C,1675829468
100,saint anthony,45.0205,-93.218,-1.04,79,0,3.09,U,1675829469
101,hvolsvollur,63.7533,-20.2243,-3.06,76,100,11.55,I,1675829469
102,butaritari,3.0707,172.7902,27.41,80,100,9.67,K,1675829470
103,korhogo,9.45,-5.6333,23.97,63,85,2.11,C,1675829471
104,gaogou,34.0175,119.1886,10.84,47,100,6.07,C,1675829472
105,vaini,-21.2,-175.2,25.09,100,75,2.57,T,1675829472
106,menongue,-14.6585,17.691,16.24,81,100,1.43,A,1675829473
107,georgetown,5.4112,100.3354,29.96,66,20,4.12,M,1675829305
108,chuy,-33.6971,-53.4616,20.37,84,14,2.78,U,1675829476
109,otane,-39.8833,176.6333,23.89,45,31,3.96,N,1675829377
110,mahebourg,-20.4081,57.7,27.16,78,40,5.14,M,1675829477
111,pevek,69.7008,170.3133,-30.35,97,100,1.64,R,1675829478
112,tiksi,71.6872,128.8694,-37.26,99,98,2.7,R,1675829478
113,nichlaul,27.3167,83.7333,20.0,50,0,2.35,I,1675829349
114,quang ngai,15.1167,108.8,27.04,75,66,2.5,V,1675829481
115,pirgos,35.1167,25.7178,5.9,75,63,10.23,G,1675829482
116,san quintin,30.4833,-115.95,14.45,52,0,0.23,M,1675829319
117,landerneau,48.4525,-4.2525,2.42,89,0,1.54,F,1675829483
118,vigia,-0.8583,-48.1417,24.11,92,100,2.25,B,1675829336
119,whitecourt,54.1502,-115.6855,-2.13,95,100,0.3,C,1675829485
120,zaragoza,41.6561,-0.8773,5.57,86,75,1.34,E,1675829203
121,chokurdakh,70.6333,147.9167,-37.27,99,100,1.55,R,1675829486
122,wuan,31.6836,112.0044,8.01,90,100,3.45,C,1675829486
123,rovaniemi,66.5,25.7167,-2.33,86,0,6.17,F,1675829487
124,cabo san lucas,22.8909,-109.9124,20.28,44,84,2.07,M,1675829445
125,thinadhoo,0.5333,72.9333,27.16,74,25,2.98,M,1675829488
126,olot,42.181,2.4901,5.6,95,100,1.42,E,1675829490
127,saint george,37.1041,-113.5841,7.75,51,0,2.57,U,1675829491
128,grants,35.1473,-107.8514,-5.87,93,0,0.0,U,1675829492
129,kodiak,57.79,-152.4072,-5.27,63,0,7.72,U,1675829492
130,palu,-0.8917,119.8707,24.81,93,100,0.33,I,1675829493
